Region Index, x, y, w, h
1, 39, 472, 24, 15
2, 213, 469, 22, 24
3, 140, 454, 33, 16
4, 440, 440, 15, 27
5, 60, 435, 34, 16
6, 224, 434, 39, 20
7, 179, 400, 27, 33
8, 323, 398, 24, 40
9, 256, 390, 40, 14
10, 437, 387, 28, 16
11, 91, 384, 27, 32
12, 348, 354, 20, 37
13, 162, 353, 21, 25
14, 409, 347, 42, 10
15, 14, 335, 41, 22
16, 328, 324, 22, 18
17, 110, 324, 12, 37
18, 162, 308, 24, 21
19, 367, 297, 15, 25
20, 21, 270, 21, 32
21, 401, 266, 28, 16
22, 138, 266, 28, 16
23, 225, 262, 20, 25
24, 86, 248, 17, 25
25, 266, 234, 38, 25
26, 144, 219, 19, 32
27, 188, 214, 10, 42
28, 404, 202, 27, 30
29, 323, 201, 17, 27
30, 96, 196, 27, 30
31, 233, 192, 27, 35
32, 414, 164, 19, 22
33, 208, 163, 14, 29
34, 383, 160, 19, 28
35, 447, 154, 34, 19
36, 132, 150, 20, 42
37, 306, 123, 33, 32
38, 225, 120, 39, 19
39, 85, 102, 14, 38
40, 361, 95, 19, 28
41, 277, 94, 44, 15
42, 163, 93, 21, 23
43, 146, 59, 38, 17
44, 470, 52, 26, 17
45, 32, 50, 20, 36
46, 98, 34, 14, 27
47, 379, 27, 16, 38
48, 279, 12, 28, 33
49, 52, 5, 27, 35
